	tconst	Box office max	genres
380	tt14878420	88081.0	Comedy
381	tt1488589	109846.0	Crime
382	tt1488589	109846.0	Documentary
383	tt14888266	6466.0	Music
384	tt14941222	131000000.0	Musical
385	tt14941698	328000000.0	Comedy
386	tt14993250	35561.0	Drama
387	tt15003736	2713000000.0	Comedy
388	tt15009428	962000000.0	Drama
389	tt15009428	962000000.0	Comedy
390	tt1502397	4265000000.0	Drama
391	tt15078804	25000000.0	Comedy
392	tt15078854	66.0	Drama
393	tt15090124	325042.0	Drama
394	tt15096796	67000000.0	Horror
395	tt15120152	173000000.0	Mystery
396	tt15144140	967000000.0	Drama
397	tt15150424	91470900.0	Short
398	tt15163652	190250.0	Horror
399	tt1517268	1446000000000.0	Short
400	tt1517268	1446000000000.0	Horror
401	tt15220110	876000000.0	Short
402	tt15239678	7051000000.0	Horror
403	tt15246038	6466.0	Short
404	tt15255876	22000000.0	Comedy
405	tt15281402	22570.0	Horror
406	tt15327088	400450.0	Short
407	tt15342244	14000000.0	Biography
408	tt15389042	2469000.0	Drama
409	tt15389042	2469000.0	History
410	tt15398776	9748000000.0	Biography
411	tt15398776	9748000000.0	Drama
412	tt15433754	475.0	History
413	tt15433956	330.0	Biography
414	tt15441054	69108.0	Drama
415	tt15504128	1446000000000.0	History
416	tt15504128	1446000000000.0	Biography
417	tt15516174	4454.0	Drama
418	tt15575470	39000000.0	History
419	tt15679400	548000000.0	Action
420	tt15783544	3000000.0	Comedy
421	tt15816190	231.0	Thriller
422	tt15816336	539.0	Drama
423	tt15837338	2022000000.0	Horror
424	tt15839462	11.0	Thriller
425	tt15847548	181000000.0	Drama
426	tt15939798	1446000000000.0	Horror
427	tt15939798	1446000000000.0	Thriller
428	tt1596557	11000000.0	Drama
429	tt16026684	2264000000.0	Horror
430	tt16280138	571000000.0	Thriller
431	tt1630029	2320000000000.0	Action
432	tt1634106	373000000.0	Fantasy
433	tt16392952	66000000.0	Short
434	tt16392952	66000000.0	Biography
435	tt16402818	32346.0	Drama
436	tt16426418	346000000.0	Music
437	tt16463406	443807.0	Drama
438	tt16495558	4853000000.0	Short
439	tt16606810	85.0	Biography
440	tt16673724	49000000.0	Drama
441	tt16731908	66000000.0	Sport
442	tt16731908	66000000.0	Action
443	tt16751740	17.0	Adventure
444	tt16756942	25000000.0	Drama
445	tt16915972	193000000.0	Biography
446	tt1697800	31395.0	Drama
447	tt17009710	355000000.0	Thriller
448	tt17024450	1911000000.0	Biography
449	tt17081130	160331000000.0	Drama
450	tt17164540	65.0	Thriller
451	tt17277414	138000000.0	Drama
452	tt17277414	138000000.0	Thriller
453	tt17277414	138000000.0	Animation
454	tt17279496	931000000.0	Drama
455	tt17279496	931000000.0	Horror
456	tt1745960	1496000000000.0	Action
457	tt17491040	103000000.0	Adventure
458	tt17491616	6000000.0	Comedy
459	tt17527468	136000000.0	Action
460	tt17541454	182.0	Adventure
461	tt17663992	1691000000.0	Comedy
462	tt18072376	254000000000.0	Action
463	tt18079362	404000000.0	Drama
464	tt18286194	87000000.0	Horror
465	tt18317482	39000000.0	Short
466	tt1838556	326000000.0	Drama
467	tt18550182	686683.0	Short
468	tt18550182	686683.0	Drama
469	tt18550182	686683.0	Short
470	tt18557856	2000000.0	Drama
471	tt18557856	2000000.0	Short
472	tt18557856	2000000.0	Drama
473	tt18557856	2000000.0	Short
474	tt18557856	2000000.0	Crime
475	tt18557856	2000000.0	Drama
476	tt1856080	554000000.0	Sci-Fi
477	tt18561736	565.0	Short
478	tt1877830	7722000000.0	Drama
479	tt1879016	157000000.0	Fantasy
480	tt1879016	157000000.0	Horror
481	tt18966752	43563.0	Short
482	tt18968540	57000000.0	Thriller
483	tt1924245	165000000.0	Adventure
484	tt19365538	5.0	Animation
485	tt19623240	52000000.0	Comedy
486	tt19712392	11.0	Adventure
